date,GlobalRank_zalando.de,GlobalRank_planet-sports.de,GlobalRank_blue-tomato.com,GlobalRank_sportscheck.com,GlobalRank_otto.de,Reach_zalando.de,Reach_planet-sports.de,Reach_blue-tomato.com,Reach_sportscheck.com,Reach_otto.de,Pageviews_zalando.de,Pageviews_planet-sports.de,Pageviews_blue-tomato.com,Pageviews_sportscheck.com,Pageviews_otto.de,Pageviews_User_zalando.de,Pageviews_User_planet-sports.de,Pageviews_User_blue-tomato.com,Pageviews_User_sportscheck.com,Pageviews_User_otto.de,Bounce_zalando.de,Bounce_planet-sports.de,Bounce_blue-tomato.com,Bounce_sportscheck.com,Bounce_otto.de,Time_zalando.de,Time_planet-sports.de,Time_blue-tomato.com,Time_sportscheck.com,Time_otto.de
10/1/2017,2965,46749,29597,26957,1365,0.00022,0.000019,0.000032,0.00003,0.00067,0.0000523,0.0000018,0.000007,0.0000074,0.000206,9.4,3.9,8.8,9.7,12,0.214,0.364,0.26,0.283,0.264,540,258,357,497,786
10/2/2017,2972,46648,29351,26970,1358,0.00021,0.00002,0.000038,0.000031,0.00061,0.0000391,0.0000014,0.0000051,0.0000039,0.000138,8,3,5.9,5.5,9.8,0.257,0.333,0.38,0.417,0.293,528,139,337,189,597
10/3/2017,2975,46672,29227,26837,1347,0.00023,1.20E-05,0.000036,0.000042,0.00066,5.56E-05,0.00000085,0.000004,0.0000045,0.000196,10,3,4.8,4.5,13,0.206,0.412,0.276,0.4,0.252,647,147,239,250,795
10/4/2017,2975,46732,29132,26817,1344,0.00019,0.000013,0.000028,0.00003,0.00052,0.0000362,0.00000098,0.0000029,0.0000028,0.0000802,8.3,3.2,4,4.1,6.6,0.263,0.5,0.385,0.432,0.27,481,216,260,215,390
10/5/2017,2977,46804,29080,26842,1339,0.00022,0.000014,0.000032,0.000021,0.00051,0.0000445,1.50E-06,3.00E-06,0.0000034,0.0000834,8.7,4.4,3.9,6.8,6.9,0.242,0.421,0.327,0.364,0.303,565,193,429,276,410
10/6/2017,2993,46634,28926,26795,1339,0.00022,0.000021,0.000031,0.000025,0.00052,0.0000419,0.0000021,0.0000033,0.000004,0.0000793,8,4.3,4.5,6.6,6.3,0.246,0.429,0.436,0.378,0.31,469,226,425,296,378
10/7/2017,2985,46467,28803,26665,1338,0.00021,0.000022,0.000023,0.000035,0.00053,0.0000444,0.0000023,0.0000029,0.0000074,0.0000903,8.1,4,5,8.3,6.6,0.243,0.482,0.31,0.304,0.316,517,144,275,499,432
10/8/2017,2978,46272,28633,26463,1338,0.00026,0.000017,0.000028,0.000046,0.00056,0.0000601,0.0000012,0.0000051,0.0000065,0.0000976,9.3,2.7,7.4,5.8,7,0.237,0.609,0.417,0.375,0.338,602,120,304,233,450
10/9/2017,2984,46235,28632,26542,1339,0.00024,0.000021,0.000025,0.000025,0.00056,0.0000418,0.0000014,0.0000033,0.0000021,0.000089,7.8,2.8,5.8,3.6,7,0.272,0.531,0.333,0.487,0.325,510,118,462,149,413
10/10/2017,2987,46156,28573,26522,1338,0.00024,0.000016,0.000028,0.000023,0.00053,4.50E-05,0.0000021,2.60E-06,0.0000039,0.0000763,8.1,5.8,4.1,7.4,6.3,0.23,0.409,0.396,0.27,0.345,568,214,196,332,395
10/11/2017,2989,45881,28446,26408,1336,0.00022,0.000022,0.000026,0.000028,0.0005,4.80E-05,0.0000021,0.0000035,0.0000042,0.0000836,9.3,4,5.9,6.5,7.2,0.245,0.429,0.32,0.22,0.285,577,207,358,508,435
10/12/2017,2988,45933,28313,26534,1332,0.0002,0.000016,0.000034,0.000017,0.00045,4.33E-05,0.0000022,0.0000045,0.0000025,0.000071,9.2,5.9,5.7,6.1,6.7,0.218,0.4,0.388,0.344,0.29,550,284,292,364,416
10/13/2017,3003,45758,28220,26614,1328,0.00019,0.00002,0.000034,0.000025,0.0005,0.0000381,0.0000033,0.0000049,0.0000025,0.0000885,8.4,8,6.1,4.3,7.5,0.259,0.35,0.382,0.41,0.286,519,463,249,163,430
10/14/2017,3011,45916,28199,26685,1320,0.00021,0.000011,0.000023,0.000018,0.00048,0.0000483,0.000001,0.0000028,0.0000025,0.0000939,8.9,4,4.7,5.5,7.7,0.244,0.429,0.306,0.44,0.292,577,250,269,234,479
10/15/2017,3004,46067,28166,26696,1316,0.00025,0.000008,0.000021,0.000026,0.00056,0.0000501,6.50E-07,0.000002,0.0000035,0.000117,8,3,3.9,5.5,8.4,0.236,0.455,0.517,0.286,0.284,542,137,106,261,546
10/16/2017,3016,46041,28143,26897,1315,0.00021,0.000018,0.000033,0.000019,0.00052,0.0000329,0.0000027,0.0000034,0.0000027,0.0000771,6.9,6.8,4.6,6.4,6.6,0.226,0.333,0.298,0.323,0.277,415,256,240,275,394
10/17/2017,3027,45977,28296,26993,1311,0.00021,0.00002,0.000026,0.000016,0.00048,0.0000403,0.0000014,0.000002,0.0000027,0.0000746,8.4,3,3.4,7.2,6.8,0.2,0.5,0.341,0.458,0.294,572,241,175,268,422
10/18/2017,3021,46191,28262,27083,1312,0.00023,0.0000098,0.000029,0.000018,0.00049,0.0000454,0.00000071,0.0000025,0.0000021,8.49E-05,8.6,3,3.8,5.2,7.5,0.221,0.385,0.423,0.379,0.278,578,214,196,248,442
10/19/2017,3017,46256,28206,27162,1315,0.00025,0.0000095,0.000023,0.000017,0.00046,0.0000469,0.00000059,0.0000029,1.30E-06,0.0000748,7.9,3,5.3,3.4,6.9,0.23,0.385,0.333,0.387,0.294,560,122,182,246,440
10/20/2017,3018,46335,28081,27239,1310,0.00022,1.20E-05,0.000029,0.00002,0.00044,0.0000479,1.30E-06,0.0000036,3.00E-06,0.0000779,8.9,4.4,5.1,6.3,7.3,0.228,0.222,0.417,0.353,0.295,600,179,307,323,483
10/21/2017,3010,46250,27878,27238,1299,0.00023,0.000017,0.000033,0.000025,0.00051,0.0000537,3.00E-06,0.0000032,0.0000041,0.000105,9.3,6.8,3.8,6.4,8.1,0.206,0.238,0.361,0.323,0.32,700,303,242,301,547
10/22/2017,3002,46437,27721,27158,1295,0.00028,0.000015,0.000029,0.000035,0.00051,0.000064,0.0000023,0.0000039,0.0000042,0.000103,9.2,6.3,5.5,4.8,8.2,0.251,0.381,0.439,0.449,0.316,661,314,218,222,512
10/23/2017,3003,46600,27592,27234,1296,0.00025,0.000015,0.000031,0.000021,0.0005,0.0000464,0.0000019,5.20E-06,1.50E-06,0.0000936,8.2,5.5,7.3,3.2,8.1,0.233,0.348,0.411,0.344,0.277,541,193,328,170,513
10/24/2017,3005,46800,27487,27293,1293,0.00021,0.000013,0.000031,2.40E-05,0.00055,0.0000382,0.0000027,0.0000027,1.50E-06,0.000095,7.6,9,3.6,2.7,7.3,0.24,0.3,0.278,0.595,0.292,507,426,189,105,496
10/25/2017,3017,46826,27486,27371,1295,0.0002,0.000011,0.000029,0.000029,0.00051,0.00004,0.0000011,0.0000027,0.0000023,0.000079,8.3,4.1,3.9,3.3,6.5,0.297,0.429,0.522,0.353,0.322,578,216,232,233,425
10/26/2017,3011,46739,27439,27376,1291,0.00022,0.000015,2.40E-05,0.000021,0.00047,0.0000402,0.0000012,0.0000017,0.0000043,0.0000822,7.6,3.1,3,8.4,7.2,0.277,0.4,0.395,0.216,0.291,535,67,158,403,447
