"","adidas","Asics","Cinquestelle","Converse","Diadora","Erima","FREAM","Hummel","Jako","Jordan","KangaROOS","Kempa","Lotto","Mizuno","New Balance","Nike","Onitsuka","PUMA","Reebok","Reusch","Sells","Sport2000","Stance","Uhlsport","Under Armour"
"2017-10-01",129,99,0,127,43,69,0,102,66,96,27,33,66,77,113,119,19,118,118,26,0,0,93,37,77
"2017-10-02",115,150,0,121,113,47,0,140,78,103,17,24,71,100,66,106,33,118,95,119,29,0,69,99,62
"2017-10-03",160,112,0,122,54,91,0,89,105,108,77,6,36,72,104,95,52,137,91,63,30,0,72,46,42
"2017-10-04",103,117,0,93,26,104,0,111,89,84,20,36,121,30,104,106,17,110,115,15,15,0,41,66,38
"2017-10-05",130,77,0,127,37,55,0,74,39,69,115,47,110,59,81,83,32,120,34,22,42,0,55,42,31
"2017-10-06",116,144,0,94,40,54,0,113,59,91,39,69,45,126,83,93,68,123,94,24,30,28,30,45,82
"2017-10-07",131,184,0,118,46,34,0,74,151,99,72,0,111,82,122,119,99,145,109,18,0,33,73,39,86
"2017-10-08",126,56,0,115,28,36,0,74,108,122,33,52,46,50,138,96,54,144,90,25,16,0,32,72,60
"2017-10-09",96,135,0,67,62,46,0,86,67,69,16,71,66,89,104,95,16,104,62,15,136,0,87,42,56
"2017-10-10",101,112,0,55,100,72,100,86,59,82,13,35,34,45,93,111,83,106,63,76,14,0,100,42,48
"2017-10-11",107,86,0,94,25,47,0,117,128,83,20,35,99,38,97,90,16,137,61,23,72,27,67,11,57
"2017-10-12",106,88,0,87,60,38,0,81,60,86,14,54,78,91,78,89,33,127,66,23,123,0,33,0,70
"2017-10-13",108,74,0,96,76,115,0,102,62,94,73,13,51,73,99,100,0,103,108,66,31,0,37,67,56
"2017-10-14",142,91,0,121,49,24,0,123,115,112,17,45,117,77,153,119,84,130,59,29,18,0,152,14,77
"2017-10-15",125,109,0,160,45,39,100,102,69,123,8,35,95,99,146,117,138,140,87,23,34,0,34,64,123
"2017-10-16",82,59,93,71,50,70,0,80,57,102,60,78,58,37,104,79,64,66,71,26,28,0,73,32,55
"2017-10-17",125,132,0,76,38,100,0,84,99,108,66,65,38,30,92,91,16,108,72,15,14,0,27,21,92
"2017-10-18",101,83,0,60,26,48,0,116,66,83,20,24,99,99,138,84,70,129,86,23,15,0,29,44,38
"2017-10-19",98,52,0,146,51,57,0,140,34,81,14,48,94,30,108,80,119,158,87,23,14,0,104,22,74
"2017-10-20",102,103,0,60,53,52,0,60,55,100,10,12,69,79,100,95,68,69,83,16,15,0,48,22,64
"2017-10-21",119,102,0,92,45,39,0,89,72,152,66,49,113,72,147,109,0,124,162,9,0,32,34,13,53
"2017-10-22",122,143,0,122,14,102,0,108,62,107,43,38,85,33,83,111,123,176,91,16,31,0,72,82,94
"2017-10-23",83,60,0,75,48,31,0,101,55,96,10,22,47,92,77,117,31,101,47,18,14,26,28,21,62
"2017-10-24",104,93,0,95,49,72,0,101,39,79,16,11,52,44,75,89,63,90,98,63,28,0,33,10,84
"2017-10-25",105,82,0,67,25,58,0,80,58,110,13,29,94,58,123,88,16,114,97,110,14,0,11,42,32
"2017-10-26",93,65,0,105,51,87,0,66,50,88,7,6,53,76,61,84,66,114,105,19,152,0,56,0,55
"2017-10-27",110,112,0,72,27,101,0,83,97,94,69,131,44,47,70,87,56,110,91,32,15,0,71,0,33
"2017-10-28",125,92,0,91,45,34,0,74,102,97,16,49,111,72,99,103,39,148,64,69,17,32,48,51,81
"2017-10-29",110,104,0,103,112,44,0,62,68,82,24,67,61,69,139,116,17,123,89,12,0,28,18,45,65
"2017-10-30",102,89,0,65,27,113,0,59,70,83,14,44,49,72,97,95,35,94,80,8,46,0,83,23,116
"2017-10-31",89,100,0,74,113,50,0,57,89,117,25,13,15,85,75,94,86,125,55,16,61,0,31,69,47
"2017-11-01",80,101,0,76,0,29,0,102,63,89,27,12,79,100,134,104,67,74,98,23,15,28,35,33,112
"2017-11-02",108,111,0,68,38,56,0,84,86,82,17,23,54,90,89,86,16,92,72,26,43,0,64,21,36
"2017-11-03",105,112,0,72,39,15,0,86,88,106,17,18,46,71,69,96,34,115,83,24,0,0,42,45,72
"2017-11-04",131,92,0,109,30,96,0,88,123,93,20,7,110,70,101,120,58,153,96,18,34,0,54,13,64
"2017-11-05",122,133,0,87,52,101,0,75,116,90,24,98,88,61,76,118,100,135,127,43,59,0,91,55,75
"2017-11-06",94,52,0,56,25,104,0,90,152,77,13,34,50,58,104,91,16,120,63,15,0,0,69,52,98
"2017-11-07",96,49,0,94,24,100,0,118,177,95,19,28,60,15,71,83,16,132,56,15,28,0,59,31,63
"2017-11-08",97,63,0,37,58,72,0,90,91,83,17,17,140,30,68,105,48,89,44,56,28,0,80,143,120
"2017-11-09",100,59,0,80,38,28,0,78,114,94,13,29,75,22,127,91,49,128,83,26,100,0,43,0,61
"2017-11-10",137,80,0,69,99,44,0,108,77,108,24,55,46,39,73,91,51,118,82,27,15,28,81,44,73
"2017-11-11",128,72,0,78,44,94,0,71,78,96,35,34,119,84,75,116,19,162,106,64,67,0,40,100,77
"2017-11-12",115,98,0,76,26,77,0,59,65,106,31,18,72,46,61,95,17,167,77,39,29,0,18,22,73
"2017-11-13",80,98,0,57,12,27,0,124,155,115,22,34,77,50,59,83,16,87,61,25,27,51,17,31,69
"2017-11-14",99,59,0,48,24,40,0,58,74,90,59,45,57,22,81,94,31,102,54,70,55,0,42,41,40
"2017-11-15",107,125,0,31,25,89,0,76,91,90,67,35,40,45,53,83,32,110,59,23,43,54,11,43,51
"2017-11-16",113,70,0,74,13,28,0,82,68,104,13,64,30,30,92,81,49,110,38,27,43,27,98,32,45
"2017-11-17",100,62,0,63,27,35,0,104,66,91,14,19,23,72,66,83,90,117,50,45,31,0,80,34,79
"2017-11-18",134,85,0,107,45,90,0,78,82,89,116,21,108,44,90,109,77,119,73,36,0,32,96,13,94
"2017-11-19",111,111,0,79,79,59,0,92,69,114,17,25,81,63,78,105,17,127,56,28,45,0,51,34,99
"2017-11-20",91,53,0,79,36,40,0,124,89,139,38,45,47,57,73,114,16,121,53,7,27,0,53,91,79
"2017-11-21",115,91,0,30,36,118,0,113,101,109,6,40,16,79,61,92,63,93,70,15,14,26,83,10,52
"2017-11-22",119,98,0,83,63,74,0,98,76,100,23,41,56,30,144,118,32,125,83,19,42,0,34,21,81
"2017-11-23",129,75,0,83,88,47,0,89,80,110,68,23,52,52,136,133,16,99,138,89,29,27,87,21,138
"2017-11-24",197,90,0,105,77,14,0,119,78,135,68,53,21,61,137,200,49,192,200,19,14,0,86,43,100
"2017-11-25",191,112,0,87,73,78,0,129,109,127,69,54,130,135,107,145,97,134,119,26,17,0,100,25,92
"2017-11-26",162,84,0,89,80,75,0,124,94,110,21,44,107,48,61,115,0,136,114,16,0,57,73,23,119
"2017-11-27",107,94,0,48,55,40,0,119,105,97,74,79,68,29,81,113,31,113,87,7,41,0,74,41,127
"2017-11-28",114,72,0,53,70,71,0,95,121,113,26,92,16,59,89,98,32,105,61,11,0,0,71,32,44
"2017-11-29",100,40,0,106,25,57,0,95,111,118,17,47,98,30,53,106,0,103,118,69,43,54,93,11,41
"2017-11-30",108,64,0,71,52,34,0,107,73,109,24,36,74,54,93,94,70,113,61,70,29,0,84,22,86
"2017-12-01",106,41,0,67,0,71,0,124,79,88,33,97,70,49,50,100,0,91,56,21,16,0,132,12,65
"2017-12-02",116,83,0,57,56,52,0,75,62,125,37,22,95,28,72,118,0,154,116,33,53,33,57,40,106
"2017-12-03",120,71,0,68,69,87,0,77,177,77,22,126,70,58,81,119,123,120,125,75,31,59,77,63,69
"2017-12-04",113,81,0,74,74,32,0,121,60,93,26,23,88,58,38,87,16,122,54,29,14,0,82,21,43
"2017-12-05",93,58,0,57,25,49,0,118,112,91,20,93,57,59,88,86,0,91,64,72,28,0,97,43,37
"2017-12-06",83,83,0,91,57,38,0,95,59,106,10,53,43,58,56,80,116,60,52,23,14,54,85,22,31
"2017-12-07",95,108,0,40,99,53,0,88,65,102,24,83,57,38,83,91,17,108,97,125,15,0,109,33,39
"2017-12-08",105,87,0,48,14,65,0,128,138,95,84,100,48,80,83,97,17,96,124,32,31,0,93,69,72
"2017-12-09",140,47,0,162,30,45,0,105,133,157,24,28,68,89,85,115,19,110,116,32,51,0,80,77,67
"2017-12-10",143,82,0,93,14,30,0,60,96,95,85,6,135,32,73,117,53,121,111,16,31,0,68,46,79
"2017-12-11",102,90,0,80,81,70,0,100,84,107,9,67,39,21,64,95,15,115,89,74,14,25,160,41,76
"2017-12-12",118,71,0,61,37,41,0,148,104,93,16,40,62,65,54,84,31,86,62,71,89,26,50,21,41
"2017-12-13",103,89,0,69,38,52,0,78,61,112,10,35,45,38,54,85,33,95,63,73,120,100,60,32,56
"2017-12-14",104,68,0,49,26,43,0,96,104,76,21,48,79,68,78,92,17,92,95,27,44,28,53,63,83
"2017-12-15",111,66,0,58,41,41,0,79,78,88,125,25,115,56,62,95,18,91,91,49,46,0,62,70,63
"2017-12-16",180,99,0,69,61,45,0,92,69,110,93,84,119,89,33,118,39,121,73,23,17,0,115,65,79
"2017-12-17",121,91,0,86,89,31,0,101,90,102,100,39,60,25,45,102,18,131,135,42,0,0,118,36,82
"2017-12-18",113,83,0,35,70,28,0,118,77,103,53,41,55,30,49,77,32,94,67,23,43,27,52,83,106
"2017-12-19",96,131,0,52,0,38,0,78,29,125,17,6,21,45,62,72,0,84,67,35,29,55,61,0,84
"2017-12-20",111,80,0,102,26,5,0,88,27,87,17,25,88,47,60,82,17,103,93,32,0,28,87,11,72
"2017-12-21",84,59,0,48,42,20,0,53,100,98,4,19,48,48,30,74,36,91,86,21,63,0,32,12,38
"2017-12-22",103,57,0,48,45,63,0,51,42,85,12,35,81,18,37,81,0,82,78,23,0,0,41,0,34
"2017-12-23",104,71,0,61,33,48,0,67,45,130,13,63,183,40,74,95,0,101,79,25,19,35,62,28,54
"2017-12-24",105,42,0,85,37,21,0,88,12,104,10,0,102,69,86,91,0,108,106,22,63,0,83,0,60
"2017-12-25",133,52,0,43,138,25,0,69,21,137,9,31,83,105,79,110,43,108,91,25,0,0,63,42,88
"2017-12-26",128,79,0,147,63,17,0,57,26,147,17,15,57,65,50,103,101,98,139,73,18,100,29,13,81
"2017-12-27",124,115,0,42,41,40,0,111,29,91,18,32,59,32,81,105,18,107,132,16,46,58,79,23,57
"2017-12-28",111,125,0,90,69,20,91,93,29,118,11,45,108,41,120,107,0,124,89,64,31,59,67,23,109
"2017-12-29",112,113,0,62,58,63,0,89,28,101,56,14,54,95,79,100,135,139,83,26,33,31,87,0,102
"2017-12-30",129,68,0,105,30,28,0,45,27,136,8,14,136,27,63,105,19,100,67,32,17,64,21,13,86
"2017-12-31",100,90,0,44,35,39,0,48,91,97,5,0,174,32,53,84,23,87,72,16,60,38,89,15,28
"2018-01-01",109,119,0,61,15,23,0,50,26,95,24,7,127,37,71,75,20,96,77,9,35,66,28,13,67
"2018-01-02",110,62,0,76,49,27,0,88,54,102,16,29,59,66,72,91,52,110,56,18,14,26,77,10,84
"2018-01-03",100,119,0,97,71,61,0,94,43,103,6,28,85,85,54,88,15,101,49,18,13,76,53,30,49
"2018-01-04",105,79,0,98,100,99,0,85,45,94,10,34,40,57,90,94,0,104,90,18,69,26,81,0,59
"2018-01-05",92,81,0,63,13,14,0,62,37,118,51,47,70,67,48,90,65,97,89,38,57,27,77,64,39
"2018-01-06",123,88,0,58,42,37,0,80,36,112,30,13,139,67,75,104,36,130,72,30,0,60,53,24,29
"2018-01-07",107,106,0,65,52,24,0,50,57,77,0,80,54,47,71,102,50,120,111,39,30,0,94,119,53
"2018-01-08",102,72,0,111,24,22,0,70,36,96,13,56,52,56,67,88,31,91,89,29,27,95,52,20,22
"2018-01-09",109,103,0,127,139,35,0,105,26,109,22,22,37,28,109,83,31,98,110,14,41,0,71,10,51
"2018-01-10",104,91,0,74,12,18,0,91,63,98,16,71,82,22,65,84,16,101,65,72,28,0,56,110,29
"2018-01-11",117,77,0,91,55,75,0,119,56,91,96,29,78,50,63,92,64,112,89,26,155,0,66,10,59
"2018-01-12",114,140,0,102,25,14,0,78,74,88,33,29,30,45,104,99,65,108,108,34,0,0,116,82,60
"2018-01-13",129,142,0,130,42,26,0,104,60,115,62,84,73,58,95,107,54,159,90,78,79,0,85,35,112
"2018-01-14",138,84,0,94,26,39,0,101,35,87,112,61,52,90,68,98,83,140,104,87,59,28,43,81,89
"2018-01-15",134,150,0,92,55,52,0,86,52,95,9,60,69,105,51,94,15,126,76,64,27,0,65,30,131
"2018-01-16",144,111,0,114,36,56,0,86,32,78,32,50,19,57,58,102,31,113,57,25,127,51,35,31,50
