"","beige","blau","braun","gelb","gold","grau","gruen","khaki","lila","orange","pink","rosa","rot","schwarz","silber","tuerkis","weiss"
"2017-10-01",129,164,153,148,145,168,40,74,151,129,113,149,171,178,134,0,150
"2017-10-02",130,132,132,140,129,141,47,126,115,148,141,109,154,158,124,43,136
"2017-10-03",161,161,130,159,144,187,103,77,138,164,127,155,145,163,156,44,164
"2017-10-04",137,130,131,128,114,139,24,113,117,149,114,141,141,150,118,0,128
"2017-10-05",119,119,141,112,120,131,58,105,133,143,106,128,149,149,94,41,136
"2017-10-06",113,135,139,123,128,139,49,112,101,129,136,131,146,146,122,0,123
"2017-10-07",177,178,165,170,154,171,28,119,177,149,131,161,163,176,178,0,138
"2017-10-08",123,161,139,169,139,172,39,77,159,129,166,141,175,172,131,0,169
"2017-10-09",116,132,105,124,127,132,23,58,102,137,117,136,157,140,140,40,124
"2017-10-10",142,136,133,160,111,137,58,85,120,142,124,152,141,148,118,0,115
"2017-10-11",117,149,170,128,108,129,12,128,175,128,126,133,114,157,113,0,123
"2017-10-12",160,164,184,134,125,150,54,60,110,139,120,149,146,156,106,0,134
"2017-10-13",126,178,181,140,126,130,82,124,138,134,156,135,141,149,131,0,135
"2017-10-14",127,200,181,170,156,159,15,78,136,134,121,122,174,169,124,0,155
"2017-10-15",157,183,157,127,128,160,14,126,150,131,145,144,173,146,134,0,162
"2017-10-16",93,141,151,144,128,138,12,89,115,108,96,109,141,148,119,0,100
"2017-10-17",91,141,145,166,135,132,46,120,104,166,129,128,153,130,118,0,107
"2017-10-18",101,129,136,133,125,136,77,56,117,131,102,109,130,135,131,0,96
"2017-10-19",122,135,131,158,96,128,24,62,96,145,130,141,127,160,106,42,117
"2017-10-20",97,136,121,164,113,152,37,84,144,133,136,120,143,147,91,0,123
"2017-10-21",153,160,129,143,134,152,88,98,137,143,147,145,165,180,135,0,134
"2017-10-22",158,162,140,141,149,163,51,144,114,143,131,182,182,173,128,45,125
"2017-10-23",108,108,136,131,123,141,11,105,104,123,103,126,145,154,109,0,134
"2017-10-24",157,121,143,129,149,123,11,88,109,140,118,130,130,147,126,0,124
"2017-10-25",93,137,134,161,139,133,34,94,144,127,101,133,143,139,121,0,131
"2017-10-26",108,120,126,114,117,125,35,59,98,146,129,119,153,143,116,43,137
"2017-10-27",104,117,136,130,115,128,25,99,124,143,123,128,149,165,134,44,133
"2017-10-28",139,142,166,163,122,163,28,95,142,148,122,159,159,169,142,0,157
"2017-10-29",192,129,151,154,131,162,61,145,131,126,117,145,172,178,119,0,142
"2017-10-30",111,132,130,140,133,124,25,117,160,138,101,150,145,155,138,0,146
"2017-10-31",141,144,135,143,121,156,38,97,145,155,97,117,136,166,124,84,161
"2017-11-01",148,129,125,134,141,133,0,110,135,152,114,118,162,142,145,43,131
"2017-11-02",153,141,153,126,125,125,23,49,127,128,114,105,151,149,153,0,119
"2017-11-03",109,132,143,119,143,154,0,103,115,156,121,138,137,157,144,0,126
"2017-11-04",154,172,134,161,117,170,75,103,152,130,137,137,175,164,162,0,167
"2017-11-05",150,140,151,150,142,170,84,95,123,146,117,142,161,173,140,43,161
"2017-11-06",148,134,158,127,126,137,34,61,107,147,102,138,149,155,116,0,131
"2017-11-07",104,124,131,109,112,141,23,134,115,146,105,119,150,148,121,0,130
"2017-11-08",113,121,123,128,135,144,46,93,131,119,108,118,145,147,115,0,125
"2017-11-09",121,126,133,127,113,119,23,121,140,148,98,132,140,153,114,0,145
"2017-11-10",107,138,141,147,127,139,24,111,120,174,104,117,147,157,142,0,127
"2017-11-11",163,155,119,144,122,180,0,147,103,126,130,151,172,172,155,49,142
"2017-11-12",160,147,162,124,152,176,12,85,157,138,110,165,179,168,151,0,140
"2017-11-13",112,124,134,107,122,153,45,131,125,104,125,124,147,162,139,40,139
"2017-11-14",109,130,143,124,138,134,11,122,99,125,115,133,146,168,149,0,152
"2017-11-15",100,130,118,131,125,130,134,89,100,164,114,114,146,152,111,0,138
"2017-11-16",129,98,120,133,144,144,87,129,142,171,121,127,155,154,126,0,119
"2017-11-17",125,133,122,126,113,139,0,133,113,130,117,121,142,163,120,0,133
"2017-11-18",114,157,147,151,141,169,28,82,158,115,118,118,152,177,123,0,150
"2017-11-19",164,145,155,173,144,178,37,75,116,131,115,153,157,175,168,0,160
"2017-11-20",144,125,134,123,134,145,63,128,120,120,124,138,165,151,169,40,131
"2017-11-21",116,153,169,121,116,132,23,123,117,136,121,116,135,157,142,0,127
"2017-11-22",126,140,146,105,144,149,52,102,111,130,108,118,136,166,130,41,146
"2017-11-23",120,156,144,158,132,132,65,88,124,150,127,144,151,154,142,0,123
"2017-11-24",129,143,162,159,151,158,35,137,145,173,100,134,188,185,149,0,162
"2017-11-25",136,161,164,145,139,151,54,84,170,158,128,154,177,177,176,0,188
"2017-11-26",164,154,175,120,151,183,25,96,130,151,142,141,168,196,175,45,144
"2017-11-27",103,136,139,142,138,130,56,114,110,138,108,129,158,162,142,0,124
"2017-11-28",124,122,136,108,134,143,58,148,111,155,111,122,149,166,150,0,134
"2017-11-29",101,122,127,135,134,151,0,123,113,117,118,130,150,140,145,0,132
"2017-11-30",85,142,123,100,128,130,36,67,120,140,113,135,140,148,159,0,115
"2017-12-01",83,126,160,93,151,131,51,67,116,137,136,168,164,150,134,0,136
"2017-12-02",128,157,152,131,150,161,58,60,165,133,159,169,155,175,162,0,156
"2017-12-03",164,145,125,121,145,154,38,81,132,156,128,136,174,175,164,0,150
"2017-12-04",119,141,157,133,147,140,23,97,133,158,108,138,146,166,168,0,109
"2017-12-05",134,133,124,113,136,124,64,99,93,140,125,105,143,156,145,0,131
"2017-12-06",126,120,125,133,161,125,12,89,103,123,96,100,149,155,142,42,108
"2017-12-07",118,138,138,95,145,120,12,84,108,134,129,92,160,179,153,0,118
"2017-12-08",108,130,128,129,132,133,75,96,96,118,125,124,154,155,152,0,125
"2017-12-09",122,131,163,126,142,157,42,66,132,120,114,139,163,174,187,100,133
"2017-12-10",144,153,164,135,153,150,104,127,132,136,181,149,171,181,166,0,143
"2017-12-11",129,142,141,119,134,115,0,83,101,121,145,131,135,170,139,40,117
"2017-12-12",110,132,123,102,132,118,11,61,124,112,136,129,151,160,150,0,128
"2017-12-13",122,137,129,142,142,117,23,125,100,105,110,133,140,164,169,0,131
"2017-12-14",123,132,118,124,119,131,12,87,107,129,106,119,159,168,142,0,134
"2017-12-15",102,133,125,118,129,123,13,79,141,138,133,135,156,150,167,0,131
"2017-12-16",144,151,118,116,157,136,42,112,151,162,154,137,191,163,184,0,126
"2017-12-17",143,142,145,149,150,145,39,103,118,133,161,167,178,190,181,0,148
